name,@lat,@lon
Red Robin,35.1945038,-106.6548453
Buffalo Wild Wings,35.1949789,-106.6545655
Chili's,35.1961290,-106.6535405
,35.1969147,-106.6532040
Applebee's,35.1534369,-106.6825750
Annapurna's World Vegetarian Café,35.1438788,-106.6406052
Le Chantlly,35.1087512,-106.5525861
Dion's Pizza,35.1908198,-106.7270587
El Patron,35.1767209,-106.5593233
El Patron,35.1310622,-106.5218856
